D19780701,1000,,19780701-070000-Hike.gpx,1978-07-01,1978-07-02,7,1978,1978 So,Sommer,Wandern,Wanderung,Privat,2,Wanderung Fl�elapass - Vereinah�tte,,Vereinah�tte,H�tte,W�gerhus - J�rifl�elafurgga - Berghaus Vereina - Monbiel,,x,,,,"Papa; Mama Marianne",,,,,,,,,,,,,,,,,1.7.78,1000
D19840301,1001,153,19840301-070000-BackcountrySki.gpx,1984-03-01,1984-3-1,3,1984,1983/84 Wi,Winter,Skifahren,Skitour,Gef�hrt,1,Skitour Schilt,,Schilt,Gipfel,Probetour zur Skitourenwoche Simplon (ca. 3. Sek),,x,,,,Weitere,,,,,,,,,,,,,,,,,1.3.84,1001
D19850415,1004,154,,1985-04-15,1985-04-15,4,1985,1985 Wi,Winter,Skifahren,Skitour,Gef�hrt,5,,Not exported from Strava,u.a. Breithorn (Simplon),Gipfel,Teil der Skitourenwoche Simplon (ca. 3. Sek),,x,,,,Weitere,Skitourenwoche Simplon,,,,,,,,,,,,,,,,15.4.85,1004
D19880701,1005,1,19880701-060000-Hike.gpx,1988-07-01,1988-07-01,7,1988,1988 So,Sommer,Wandern,Alpintour,Privat,1,Wanderung Gross Mythen,,Grosser Mythen,Gipfel,Start in der Region Rickenbach - Holzegg - Grosser Mythen,,x,,,,Roli Gallati,,,,,,,,,,,,,,,,,1.7.88,1005
